t,x1,v1,x2,v2,pump,refc,refs,drive1,drive2,u1,u2,k12_eff,k21_eff,i1,q1,amp1,phase1,bit1,i2,q2,amp2,phase2,bit2
4.9e-05,0.01321489737,-1680.624015,0.00124791367,-158.6134474,0.8090169944,-0.9510565163,0.3090169944,-0.1902113033,0,-0.1902113033,0,0,0,-1.198642632e-05,1.088450086e-05,1.619094732e-05,2.404337445,0,-1.131838561e-06,1.027714135e-06,1.528808317e-06,2.404372917,0
5e-05,0.01059159783,-3519.693021,0.001000287417,-332.2728166,1,-1,2.388680239e-15,-0.2,0,-0.2,0,0,0,-1.304438746e-05,1.088341241e-05,1.698836984e-05,2.446262464,0,-1.231754119e-06,1.027611363e-06,1.604120732e-06,2.446303829,0
5.1e-05,0.00636003726,-4819.715995,0.0006007845901,-455.0538688,0.8090169944,-0.9510565163,-0.3090169944,-0.1902113033,0,-0.1902113033,0,0,0,-1.364795851e-05,1.068578811e-05,1.733357548e-05,2.477329456,0,-1.288768953e-06,1.008943337e-06,1.636732132e-06,2.477382157,0
5.2e-05,0.00123001766,-5309.646659,0.0001164134662,-501.3490238,0.3090169944,-0.8090169944,-0.5877852523,-0.1618033989,0,-0.1618033989,0,0,0,-1.374610424e-05,1.061242091e-05,1.7366026e-05,2.484140049,0,-1.298058124e-06,1.001999831e-06,1.639804426e-06,2.484208351,0
5.3e-05,-0.004039637138,-5152.365088,-0.0003811735508,-486.5246025,-0.3090169944,-0.5877852523,-0.8090169944,-0.1175570505,0,-0.1175570505,0,0,0,-1.350728571e-05,1.093817317e-05,1.738074796e-05,2.4609058,0,-1.275523499e-06,1.032737219e-06,1.641190531e-06,2.460990646,0
5.4e-05,-0.008982159394,-4711.380817,-0.0008478938052,-444.904257,-0.8090169944,-0.3090169944,-0.9510565163,-0.06180339887,0,-0.06180339887,0,0,0,-1.322837099e-05,1.179133348e-05,1.772076026e-05,2.413567686,0,-1.249194587e-06,1.113273438e-06,1.673279673e-06,2.413664675,0
5.5e-05,-0.01344387385,-4200.151872,-0.001269234035,-396.654747,-1,-2.449912579e-15,-1,-4.899825158e-16,0,-4.899825158e-16,0,0,0,-1.322704816e-05,1.313454173e-05,1.864057374e-05,2.359703613,0,-1.249069667e-06,1.240085515e-06,1.760109973e-06,2.359803793,0
5.6e-05,-0.01732427824,-3503.32115,-0.001635715337,-330.8978587,-0.8090169944,0.3090169944,-0.9510565163,0.06180339887,0,0.06180339887,0,0,0,-1.376107509e-05,1.478086505e-05,2.01950776e-05,2.320480158,0,-1.299491144e-06,1.395527279e-06,1.906875355e-06,2.320574876,0
5.7e-05,-0.02026691627,-2259.049297,-0.001913702009,-213.4736379,-0.3090169944,0.5877852523,-0.8090169944,0.1175570505,0,0.1175570505,0,0,0,-1.495095843e-05,1.641901493e-05,2.220619754e-05,2.309430466,0,-1.411845777e-06,1.550209471e-06,2.096773212e-06,2.309516364,0
5.8e-05,-0.02155167226,-165.6279878,-0.002035216607,-15.87791438,0.3090169944,0.8090169944,-0.5877852523,0.1618033989,0,0.1618033989,0,0,0,-1.669303025e-05,1.768414854e-05,2.43184368e-05,2.32737177,0,-1.576357075e-06,1.669681481e-06,2.296244298e-06,2.327452162,0
5.9e-05,-0.02035016484,2640.872361,-0.001922028732,249.0839729,0.8090169944,0.9510565163,-0.3090169944,0.1902113033,0,0.1902113033,0,0,0,-1.862677663e-05,1.83112348e-05,2.612007136e-05,2.364736752,0,-1.758995234e-06,1.728908467e-06,2.466412115e-06,2.364820308,0
6e-05,-0.01625895332,5468.906836,-0.001535985971,516.1563199,1,1,-4.287501758e-15,0.2,0,0.2,0,0,0,-2.025080929e-05,1.830940368e-05,2.730072416e-05,2.406499391,0,-1.912417931e-06,1.728735576e-06,2.577958308e-06,2.406597963,0
6.1e-05,-0.009699093935,7459.333153,-0.0009167664059,704.2107418,0.8090169944,0.9510565163,0.3090169944,0.1902113033,0,0.1902113033,0,0,0,-2.117122285e-05,1.800785425e-05,2.779394704e-05,2.436760992,0,-1.999416356e-06,1.700233063e-06,2.62458725e-06,2.436886908,0
6.2e-05,-0.001769299589,8198.920431,-0.0001680676783,774.1737032,0.3090169944,0.8090169944,0.5877852523,0.1618033989,0,0.1618033989,0,0,0,-2.131224508e-05,1.790205665e-05,2.78333509e-05,2.442939135,0,-2.012813375e-06,1.690184269e-06,2.628334177e-06,2.443101497,0
6.3e-05,0.006361130409,7943.469027,0.0005996909152,750.1505458,-0.3090169944,0.5877852523,0.8090169944,0.1175570505,0,0.1175570505,0,0,0,-2.093621599e-05,1.84148927e-05,2.788249295e-05,2.420179511,0,-1.977363146e-06,1.738531265e-06,2.632955748e-06,2.420379258,0
6.4e-05,0.01397647649,7255.065036,0.001318893937,685.2169146,-0.8090169944,0.3090169944,0.9510565163,0.06180339887,0,0.06180339887,0,0,0,-2.050222549e-05,1.974229312e-05,2.846224495e-05,2.375075125,0,-1.936409346e-06,1.863791679e-06,2.687638476e-06,2.375301066,0
6.5e-05,0.02084369808,6461.299147,0.001967526524,610.3479151,-1,2.572377259e-15,1,5.144754518e-16,0,5.144754518e-16,0,0,0,-2.050017527e-05,2.182468869e-05,2.994284927e-05,2.32491072,0,-1.936215705e-06,2.060357952e-06,2.827367353e-06,2.325142305,0
6.6e-05,0.02680942,5381.57946,0.002531146358,508.5429854,-0.8090169944,-0.3090169944,0.9510565163,-0.06180339887,0,-0.06180339887,0,0,0,-2.132658189e-05,2.437223358e-05,3.238562744e-05,2.289646718,0,-2.014238807e-06,2.30087824e-06,3.057972964e-06,2.289865132,0
6.7e-05,0.03132322387,3456.257923,0.002957860783,326.9786169,-0.3090169944,-0.5877852523,0.8090169944,-0.1175570505,0,-0.1175570505,0,0,0,-2.316558214e-05,2.69038984e-05,3.550301318e-05,2.28167019,0,-2.187896078e-06,2.539944116e-06,3.352343264e-06,2.281868897,0
6.8e-05,0.03327340995,220.9008142,0.003142762672,21.74080996,0.3090169944,-0.8090169944,0.5877852523,-0.1618033989,0,-0.1618033989,0,0,0,-2.585514099e-05,2.885696998e-05,3.874549047e-05,2.301383549,0,-2.44193213e-06,2.724417077e-06,3.658617353e-06,2.301571017,0
6.9e-05,0.03138346814,-4111.393638,0.002965270744,-387.2067071,0.8090169944,-0.9510565163,0.3090169944,-0.1902113033,0,-0.1902113033,0,0,0,-2.883730066e-05,2.982388678e-05,4.148558945e-05,2.339377696,0,-2.723701943e-06,2.81577654e-06,3.917543848e-06,2.339574492,0
7e-05,0.0250357847,-8470.805026,0.002366850394,-798.9996684,1,-1,4.409966438e-15,-0.2,0,-0.2,0,0,0,-3.13379954e-05,2.982090439e-05,4.325917584e-05,2.380995132,0,-2.960114612e-06,2.815494963e-06,4.085252795e-06,2.381228979,0
7.1e-05,0.01488624804,-11532.14309,0.001409142079,-1088.484178,0.8090169944,-0.9510565163,-0.3090169944,-0.1902113033,0,-0.1902113033,0,0,0,-3.275062792e-05,2.935791194e-05,4.398284464e-05,2.410765849,0,-3.093835976e-06,2.771668528e-06,4.153789532e-06,2.411065142,0
7.2e-05,0.002634107994,-12661.53241,0.0002524296648,-1195.6028,0.3090169944,-0.8090169944,-0.5877852523,-0.1618033989,0,-0.1618033989,0,0,0,-3.296045667e-05,2.920014717e-05,4.403453529e-05,2.416614313,0,-3.113948581e-06,2.756553918e-06,4.158757659e-06,2.416999183,0
7.3e-05,-0.009916566674,-12257.52799,-0.0009328966729,-1157.812826,-0.3090169944,-0.5877852523,-0.8090169944,-0.1175570505,0,-0.1175570505,0,0,0,-3.237427946e-05,2.999949425e-05,4.413687377e-05,2.394249567,0,-3.058802896e-06,2.831751189e-06,4.16834379e-06,2.394720469,0
7.4e-05,-0.02166421627,-11188.59237,-0.002042692272,-1057.126945,-0.8090169944,-0.3090169944,-0.9510565163,-0.06180339887,0,-0.06180339887,0,0,0,-3.170158093e-05,3.20568837e-05,4.508474272e-05,2.350621911,0,-2.995374353e-06,3.025739593e-06,4.257624643e-06,2.351151406,0
7.5e-05,-0.032251736,-9958.574779,-0.003043199346,-941.2802322,-1,-6.247555618e-15,-1,-1.249511124e-15,0,-1.249511124e-15,0,0,0,-3.169841078e-05,3.527885162e-05,4.742769884e-05,2.302787768,0,-2.995074816e-06,3.329756954e-06,4.478588452e-06,2.303328217,0
7.6e-05,-0.04144260537,-8286.110015,-0.003912231566,-783.8936745,-0.8090169944,0.3090169944,-0.9510565163,0.06180339887,0,0.06180339887,0,0,0,-3.297588787e-05,3.921674972e-05,5.123829271e-05,2.269961529,0,-3.115669912e-06,3.701499311e-06,4.83823275e-06,2.270470684,0
7.7e-05,-0.04838529616,-5306.00086,-0.004569675264,-503.3432305,-0.3090169944,0.5877852523,-0.8090169944,0.1175570505,0,0.1175570505,0,0,0,-3.581660663e-05,4.312728073e-05,5.606060697e-05,2.263851906,0,-3.383957118e-06,4.070823655e-06,5.293653843e-06,2.264316176,0
7.8e-05,-0.05136198043,-303.0763395,-0.004853552977,-31.87263247,0.3090169944,0.8090169944,-0.5877852523,0.1618033989,0,0.1618033989,0,0,0,-3.996829648e-05,4.614194947e-05,6.104542754e-05,2.284622198,0,-3.776279406e-06,4.355701259e-06,5.764756683e-06,2.285062462,0
7.9e-05,-0.04840390858,6388.743516,-0.004577778743,599.5688981,0.8090169944,0.9510565163,-0.3090169944,0.1902113033,0,0.1902113033,0,0,0,-4.456778491e-05,4.763309831e-05,6.523189026e-05,2.3229607,0,-4.211274409e-06,4.496726832e-06,6.160794133e-06,2.323425748,0
8e-05,-0.03856473162,13113.26008,-0.003652188382,1235.148827,1,1,-4.532431118e-15,0.2,0,0.2,0,0,0,-4.84198013e-05,4.7628335e-05,6.79185943e-05,2.364434612,0,-4.57607212e-06,4.496277159e-06,6.415367825e-06,2.364989666,0
8.1e-05,-0.02286635347,17825.37969,-0.002172206782,1681.659697,0.8090169944,0.9510565163,0.3090169944,0.1902113033,0,0.1902113033,0,0,0,-5.058967876e-05,4.691696298e-05,6.89965e-05,2.393843006,0,-4.782203654e-06,4.42870265e-06,6.517889148e-06,2.39455419,0
8.2e-05,-0.003937664891,19552.69189,-0.0003854673739,1846.524252,0.3090169944,0.8090169944,0.5877852523,0.1618033989,0,0.1618033989,0,0,0,-5.090318358e-05,4.668082115e-05,6.906687456e-05,2.399436519,0,-4.812910399e-06,4.405602576e-06,6.524832609e-06,2.400349452,0
8.3e-05,0.0154370916,18916.17681,0.001444958058,1787.735301,-0.3090169944,0.5877852523,0.8090169944,0.1175570505,0,0.1175570505,0,0,0,-4.999072378e-05,4.792504001e-05,6.925230627e-05,2.377287901,0,-4.727496604e-06,4.522061579e-06,6.542038296e-06,2.378401092,0
8.4e-05,0.03356148753,17257.10331,0.003158396412,1631.982797,-0.8090169944,0.3090169944,0.9510565163,0.06180339887,0,0.06180339887,0,0,0,-4.894861771e-05,5.111213465e-05,7.077017369e-05,2.334575825,0,-4.629424038e-06,4.821990721e-06,6.684546465e-06,2.335822932,0
8.5e-05,0.04988643039,15349.289,0.004702858328,1452.925884,-1,6.370020297e-15,1,1.274004059e-15,0,1.274004059e-15,0,0,0,-4.894372285e-05,5.609566648e-05,7.444603283e-05,2.288211211,0,-4.628961096e-06,5.291794355e-06,7.03067339e-06,2.28948086,0
8.6e-05,0.06404403444,12753.12514,0.006044147827,1209.745577,-0.8090169944,-0.3090169944,0.9510565163,-0.06180339887,0,-0.06180339887,0,0,0,-5.091789798e-05,6.218100654e-05,8.036858782e-05,2.256935396,0,-4.815272639e-06,5.866097793e-06,7.589331585e-06,2.258130802,0
8.7e-05,0.07471279057,8130.576535,0.007058546839,776.3504119,-0.3090169944,-0.5877852523,0.8090169944,-0.1175570505,0,-0.1175570505,0,0,0,-5.530431383e-05,6.821918016e-05,8.782040578e-05,2.252019062,0,-5.229682085e-06,6.436559618e-06,8.293302987e-06,2.253110766,0
8.8e-05,0.07923491878,382.8319964,0.007495911254,48.1373517,0.3090169944,-0.8090169944,0.5877852523,-0.1618033989,0,-0.1618033989,0,0,0,-6.170902299e-05,7.286966992e-05,9.548817891e-05,2.273453558,0,-5.835591076e-06,6.876514571e-06,9.018901034e-06,2.274492343,0
